DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
0006E694,Luminaria,5C-CF-7F-06-E6-94,L041,-29.67993393,-51.09026343,Grupo 1,0,HDA-01
0006E5A1,Luminaria,5C-CF-7F-06-E5-A1,L042,-29.66617665,-51.14378556,Grupo 1,0,HDA-01
000AF5FD,Luminaria,5C-CF-7F-0A-F5-FD,L043,-29.69010143,-51.10659614,Grupo 1,0,HDA-01
000AF6BE,Luminaria,5C-CF-7F-0A-F6-BE,L048,-29.66977241,-51.1035745,Grupo 1,0,HDA-01
0006E6AE,Luminaria,5C-CF-7F-06-E6-AE,L050,-29.67764567,-51.10056862,Grupo 1,0,HDA-01
000AF4E8,Luminaria,5C-CF-7F-0A-F4-E8,L067,-29.67403776,-51.15172305,Grupo 1,0,HDA-01
0006E3CC,Luminaria,5C-CF-7F-06-E3-CC,L075,-29.69292692,-51.12024723,Grupo 1,0,HDA-01
000AF6AD,Luminaria,5C-CF-7F-0A-F6-AD,L085,-29.67065706,-51.10268601,Grupo 1,0,HDA-01
009E7DFA,Luminaria,18-FE-34-9E-7D-FA,L044,-29.6740228,-51.08876634,Grupo 1,0,HDA-01
0006E538,Luminaria,5C-CF-7F-06-E5-38,L057,-29.66649258,-51.09681308,Grupo 1,0,HDA-01
000AF631,Luminaria,5C-CF-7F-0A-F6-31,L094,-29.68136741,-51.13407467,Grupo 1,0,HDA-01
0006E782,Luminaria,5C-CF-7F-06-E7-82,L049,-29.68361528,-51.14798002,Grupo 1,0,HDA-01
0006E732,Luminaria,5C-CF-7F-06-E7-32,L065,-29.66567852,-51.13593294,Grupo 1,0,HDA-01
000AF569,Luminaria,5C-CF-7F-0A-F5-69,L134,-29.68321412,-51.10459109,Grupo 1,0,HDA-01
000AF4B0,Luminaria,5C-CF-7F-0A-F4-B0,L046,-29.68626798,-51.13044614,Grupo 1,0,HDA-01
0006E5D2,Luminaria,5C-CF-7F-06-E5-D2,L051,-29.68808276,-51.07770445,Grupo 1,0,HDA-01
0006E418,Luminaria,5C-CF-7F-06-E4-18,L055,-29.68069111,-51.14701851,Grupo 1,0,HDA-01
000AF6AC,Luminaria,5C-CF-7F-0A-F6-AC,L047,-29.6737944,-51.14885666,Grupo 1,0,HDA-01
0006E555,Luminaria,5C-CF-7F-06-E5-55,L052,-29.67461045,-51.10552937,Grupo 1,0,HDA-01
000AF4AE,Luminaria,5C-CF-7F-0A-F4-AE,L060,-29.67386619,-51.12352796,Grupo 1,0,HDA-01
000AF4BA,Luminaria,5C-CF-7F-0A-F4-BA,L077,-29.68131016,-51.14113824,Grupo 1,0,HDA-01
000AF51A,Luminaria,5C-CF-7F-0A-F5-1A,L109,-29.67667293,-51.13350686,Grupo 1,0,HDA-01
009E8246,Luminaria,18-FE-34-9E-82-46,L045,-29.69233974,-51.11927302,Grupo 1,0,HDA-01
000AF444,Luminaria,5C-CF-7F-0A-F4-44,L054,-29.68946663,-51.08660231,Grupo 1,0,HDA-01
